中国男篮在热身赛中击败澳大利亚队。,体育
CBA总决赛今晚打响，辽粤再度对决。,体育
谷爱凌夺得自由式滑雪世锦赛金牌。,体育
中超联赛重启，球迷回归球场。,体育
刘翔宣布担任田径青训营导师。,体育
NBA球星詹姆斯确认参加巴黎奥运会。,体育
乒乓球亚锦赛中国队包揽男女单打冠亚军。,体育
苏炳添赛季首秀跑出10秒05。,体育
英超曼联主场3-1战胜切尔西。,体育
东京奥运会新增霹雳舞项目。,体育
A股三大指数集体高开，新能源车板块领涨。,财经
比特币价格突破6万美元大关。,财经
央行下调存款准备金率0.25个百分点。,财经
宁德时代一季度净利润同比增长40%。,财经
黄金价格创历史新高，逼近每盎司2500美元。,财经
房地产政策松绑，多地取消限购。,财经
人民币汇率升破7.1关口。,财经
阿里巴巴财报显示云业务收入增长20%。,财经
油价大幅上调，95号汽油进入9元时代。,财经
社保基金去年投资收益超1500亿元。,财经
阿里云发布通义千问大模型新版本。,科技
华为推出全球首款5G折叠屏手机。,科技
我国成功发射遥感四十三号卫星。,科技
苹果Vision Pro头显正式登陆中国市场。,科技
百度文心一言4.5开放全量用户使用。,科技
SpaceX星舰完成第三次试飞并成功回收。,科技
国产AI芯片寒武纪思元590量产交付。,科技
微信上线AI自动写朋友圈功能。,科技
量子计算机“祖冲之三号”实现算力突破。,科技
特斯拉FSD完全自动驾驶入华获批。,科技
周杰伦新专辑预售破百万张。,娱乐
杨幂主演新剧《星辰大海》收视夺冠。,娱乐
《流浪地球3》官宣定档2026年春节。,娱乐
TFBOYS十周年演唱会门票秒空。,娱乐
沈腾新片《抓娃娃》票房破30亿。,娱乐
李佳琦直播带货翻车引发争议。,娱乐
金鸡奖最佳影片颁给《封神第一部》。,娱乐
赵丽颖获白玉兰奖最佳女主角。,娱乐
抖音网红“疯产姐妹”宣布停更。,娱乐
《歌手2026》首发阵容曝光。,娱乐
教育部将中小学编程纳入必修课程试点。,教育
全国高考报名人数达1291万再创新高。,教育
双一流高校扩招人工智能专业学生。,教育
北京中考体育总分增至70分。,教育
多所985高校开设AI通识课。,教育
职业教育法修订后首次实施。,教育
小学生家庭作业不得超过60分钟。,教育
清华北大联合启动强基计划招生。,教育
校外培训机构不得占用节假日补课。,教育
研究生扩招重点向理工科倾斜。,教育
中国女排3-0横扫日本队夺冠。,体育
樊振东夺得世乒赛男单冠军。,体育
武磊西甲替补登场助攻绝杀。,体育
林丹退役仪式在广州举行。,体育
全红婵跳水世界杯再夺金牌。,体育
梅西加盟迈阿密国际引爆转会市场。,体育
WTT新加坡大满贯国乒包揽五冠。,体育
北京马拉松报名人数突破20万。,体育
NBA全明星投票库里领跑西部。,体育
U20亚洲杯中国队小组出线。,体育
美联储宣布暂停加息。,财经
腾讯控股回购50亿港元股票。,财经
北向资金单日净流入超百亿。,财经
贵州茅台股价重回2000元上方。,财经
央行开展1000亿元逆回购操作。,财经
科创板做市商制度全面落地。,财经
个人养老金账户开户数破5000万。,财经
跨境电商出口增长35%。,财经
LPR利率连续六个月保持不变。,财经
公募基金规模突破30万亿元。,财经
小米汽车SU7开启首批交付。,科技
Meta发布Llama3开源大模型。,科技
中国天眼发现800余颗新脉冲星。,科技
英伟达市值突破3万亿美元。,科技
小鹏汇天飞行汽车获适航认证。,科技
国产操作系统“鸿蒙5.0”正式推送。,科技
6G技术研发取得阶段性成果。,科技
大疆发布新一代农业无人机。,科技
中科院研制出新型钙钛矿电池。,科技
钉钉接入通义千问实现AI办公。,科技
肖战新电影《藏海传》杀青。,娱乐
迪丽热巴代言LV引发粉丝狂欢。,娱乐
《庆余年2》开播首日播放破亿。,娱乐
贾玲减肥100斤现身新片发布会。,娱乐
五月天演唱会假唱风波再起。,娱乐
王鹤棣登上GQ封面引爆热搜。,娱乐
《黑神话：悟空》实机演示曝光。,娱乐
Angelababy官宣退出跑男。,娱乐
B站跨年晚会节目单公布。,娱乐
张艺谋新片入围戛纳主竞赛。,娱乐
“双减”后首个寒假课外培训明显减少。,教育
985高校强基计划增加数学名额。,教育
中小学全面推行每天一节体育课。,教育
考研报名人数连续八年上涨。,教育
教育部严查学术不端行为。,教育
乡村教师补贴标准提高30%。,教育
高中将开设人工智能选修课。,教育
大学生就业率纳入高校考核。,教育
义务教育课程方案2026年修订。,教育
博士研究生国家助学金上调。,教育
孙颖莎世乒赛女单卫冕成功。,体育
C罗回归曼联首秀梅开二度。,体育
中国女足晋级世界杯淘汰赛。,体育
丁俊晖斯诺克英锦赛夺冠。,体育
张伟丽UFC女子草量级卫冕。,体育
NBA交易截止日多笔重磅签约。,体育
巴黎奥运会火炬设计正式公布。,体育
电竞入选2026亚运会正式项目。,体育
马龙宣布这是最后一届奥运会。,体育
游泳世锦赛中国队夺4金。,体育
证监会严打财务造假行为。,财经
蚂蚁集团整改方案获批准。,财经
地方债化解方案出台。,财经
猪肉价格同比下跌20%。,财经
数字人民币试点扩至26城。,财经
港股恒生指数重返20000点。,财经
银行存款利率再度下调。,财经
IPO审核节奏明显放缓。,财经
外资增持中国国债创历史新高。,财经
消费贷利率进入3时代。,财经
OpenAI发布GPT-5内测版。,科技
华为P70系列搭载纯血鸿蒙。,科技
中国空间站迎来神舟二十号。,科技
台积电3nm芯片量产交付苹果。,科技
蔚来发布150kWh固态电池。,科技
百度Apollo无人出租车落地深圳。,科技
人形机器人“夸父”开始量产。,科技
阿里平头哥发布RISC-V处理器。,科技
脑机接口首次实现中文意念打字。,科技
国产EDA工具突破封锁。,科技
刘亦菲新剧《玫瑰的故事》开机。,娱乐
吴京沈腾合体新片《镖人》。,娱乐
《花儿与少年6》路透照曝光。,娱乐
黄渤监制新综艺聚焦非遗文化。,娱乐
周深献唱亚运会主题曲。,娱乐
EXO成员伯贤入伍前发新歌。,娱乐
《繁花》电视剧原声带大火。,娱乐
李现杨紫或将二搭新剧。,娱乐
芒果TV裁员20%传闻发酵。,娱乐
赵本山缺席辽视春晚引猜测。,娱乐
“县中提升计划”全面启动。,教育
高校学科评估结果公布。,教育
中小学生睡眠时间纳入督导。,教育
专升本扩招向理工农医倾斜。,教育
教师资格证考试报名破千万。,教育
“公参民”学校转为公办。,教育
课后服务覆盖所有义务教育学校。,教育
博士论文盲审通过率下降。,教育
留学回国人员超八成就业。,教育
家庭教育指导师成新职业。,教育
王楚钦男单夺冠刷新世界排名。,体育
NBA季后赛首轮对阵出炉。,体育
中国体操队公布奥运名单。,体育
郑钦文法网晋级十六强。,体育
羽球汤尤杯中国队双双夺冠。,体育
F1中国大奖赛上海站回归。,体育
电竞选手Uzi宣布复出。,体育
冬奥会吉祥物冰墩墩再版发售。,体育
CBA外援政策进一步放宽。,体育
马拉松破2纪录保持者退役。,体育
人民币跨境支付系统覆盖110国。,财经
科创板新股首日平均涨150%。,财经
房贷利率下限取消。,财经
央企市值管理考核新规实施。,财经
大宗商品价格集体回落。,财经
小微企业贷款增速超30%。,财经
保险资管产品向个人开放。,财经
北交所做市交易正式启动。,财经
黄金ETF持仓量创三年新高。,财经
个税汇算清缴今日截止。,财经
Sora视频生成模型开放测试。,科技
华为Mate70将搭载自研GPU。,科技
中国量子通信网络覆盖长三角。,科技
苹果iOS18支持AI功能。,科技
比亚迪第五代DM技术发布。,科技
小红书上线AI搜索助手。,科技
国产大飞机C929完成设计。,科技
阿里云降价50%冲击市场。,科技
AI制药公司获百亿融资。,科技
6G太赫兹通信试验成功。,科技
胡歌霍建华合体《繁花》收官。,娱乐
虞书欣新综艺被指抄袭。,娱乐
《歌手2026》首发嘉宾官宣。,娱乐
邓超孙俪合体宣传新电影。,娱乐
B站UP主“老师好我叫何同学”停更。,娱乐
张韶涵演唱会门票秒罄。,娱乐
《庆余年》手游上线即登顶。,娱乐
林更新赵丽颖绯闻再起。,娱乐
Netflix买下《三体》海外版权。,娱乐
陈奕迅新专辑全网刷屏。,娱乐
“银龄讲学计划”招募万名教师。,教育
高校食堂食品安全专项整治。,教育
中小学教材插图重绘完成。,教育
在职博士招生政策收紧。,教育
留学生学历认证加强审核。,教育
“优师计划”定向培养教师。,教育
研究生导师岗位实行评聘分离。,教育
中小学生竞赛白名单公布。,教育
高校异地校区逐步清理。,教育
职业教育本科招生扩至50万人。,教育
徐梦桃冬奥后首夺世界杯冠军。,体育
NBA全明星周末上演扣篮大赛。,体育
中国竞走队奥运选拔赛结束。,体育
斯诺克世锦赛奥沙利文夺冠。,体育
WTA1000印第安维尔斯赛开打。,体育
FIFA最新排名中国男足第79位。,体育
电竞亚运冠军获记大功奖励。,体育
CBA季后赛广东vs辽宁G1。,体育
游泳世锦赛覃海洋摘银。,体育
体操世锦赛中国队获团体铜牌。,体育
A股成交额连续十日破万亿。,财经
港股通南向资金净买入创新高。,财经
专项债发行进度加快。,财经
银行理财收益率跌破3%。,财经
原油期货价格暴跌10%。,财经
REITs产品扩容至30只。,财经
个人养老金可投公募基金扩容。,财经
外汇储备规模3.2万亿美元。,财经
M2同比增长8.5%。,财经
社会融资规模增量超预期。,财经
谷歌发布Gemini 2.0模型。,科技
华为云盘古大模型3.0上线。,科技
中国建成全球最大5G网络。,科技
英特尔发布新一代酷睿Ultra。,科技
理想汽车月交付量破5万。,科技
微信鸿蒙原生版启动内测。,科技
AI绘画工具Midjourney开放中文。,科技
国产光刻胶通过验证。,科技
脑机接口瘫痪患者用意念打字。,科技
低轨卫星互联网星座组网。,科技
王一博新电影《无名》票房破10亿。,娱乐
杨紫李现新剧路透曝光。,娱乐
《奔跑吧》第12季嘉宾官宣。,娱乐
周杰伦昆凌现身巴黎时装周。,娱乐
抖音直播新规禁止未成年人打赏。,娱乐
鹿晗关晓彤公开恋情五周年。,娱乐
《流浪地球3》概念海报发布。,娱乐
赵露思新剧杀青体重暴瘦。,娱乐
爱奇艺裁员15%传闻证实。,娱乐
刘德华新片《红毯先生》定档。,娱乐
“县管校聘”改革全面推进。,教育
高校保研政策向科研倾斜。,教育
中小学生手机禁入课堂。,教育
博士后国际交流计划扩招。,教育
留学服务中心简化认证流程。,教育
“国优计划”培养科学教师。,教育
高校实验室安全专项整治。,教育
竞赛保送资格政策收紧。,教育
独立学院转设基本完成。,教育
职教高考制度试点扩大。,教育
